from,to
8,31
31,18
18,10
10,18
18,1
1,2
2,23
23,2
2,0
23,2
2,1
1,0
1,10
10,0
6,0
1,6
6,31
31,8
8,0
1,0
31,23
23,31
31,6
6,23
23,11
11,31
31,9
9,8
8,10
10,0
8,18
18,0
23,11
11,0
6,0
23,9
9,6
6,9
9,10
10,18
18,31
31,10
10,18
18,9
9,8
8,6
6,23
23,0
8,98
18,98
11,99
31,6
6,0
6,8
8,31
31,6
6,98
8,2
2,1
1,18
18,0
31,10
10,0
18,0
18,10
10,18
18,0
23,8
8,10
10,0
6,9
9,0
18,0
23,0
2,1
1,0
18,31
31,8
8,6
6,12
12,2
2,23
23,11
11,23
23,0
23,2
2,12
12,0
1,10
10,0
8,6
6,8
8,0
10,9
9,6
6,11
11,6
6,9
9,0
11,0
6,9
9,11
11,6
6,9
9,0
18,8
8,0
18,1
1,2
2,23
23,11
11,6
6,31
31,2
2,12
12,1
1,9
9,0
1,23
23,6
6,23
23,2
2,18
18,8
8,18
18,8
8,10
10,11
11,99
6,11
11,6
1,0
21,31
31,0
1,9
9,21
21,98
23,31
31,9
9,6
6,0
1,0
2,23
23,0
2,0
7,9
9,0
18,9
9,15
15,9
9,0
18,0
18,0
23,21
21,23
23,21
21,7
7,21
21,7
7,0
7,21
21,0
23,21
21,7
7,0
31,15
15,0
1,0
15,9
9,15
15,9
9,0
12,15
15,0
18,15
15,0
21,9
9,6
6,7
7,9
9,7
7,0
31,0
1,0